EntryID,Location,SKU_Code,BatchNo,ExpiryDate,UnitType,QtyPerCtn,TotalQty,Comments,DateAdded,LastUpdated
112433,P-7-1,RC2307,YJ,10/2026,PCS,36,3,,12/10/2025,
112434,P-7-1,RC2307,ZW,03/2027,PCS,36,20,,12/10/2025,
112435,P-7-1,RCF10,63,06/2026,PCS,36,12,,12/10/2025,
112436,P-7-1,RCF2302,2301242302,01/2027,PCS,8,4,,12/10/2025,
112437,P-7-2,RCHC2102HM,LF,05/2025,PCS,68,"1,899",,12/10/2025,
112438,P-7-3,RC2012/v2,80,08/2025,PCS,12,701,,12/10/2025,
112439,P-7-4,RC602,4I1,09/2027,PCS,96,866,,12/10/2025,
112440,P-7-5,RC41,UR,03/2027,PCS,36,"1,008",,12/10/2025,
112441,P-7-6,RCHC17,DS,10/2029,PCS,68,601,,12/10/2025,
112442,P-8-1,RC505,2D1,04/2026,PCS,60,940,,12/10/2025,
112443,P-8-1,RC505,2D2,04/2025,PCS,60,53,,12/10/2025,
112444,P-8-2,RC2304,GU,02/2028,PCS,36,180,,12/10/2025,
112445,P-8-4,RC2503,2708252503,07/2028,PCS,12,182,,12/10/2025,
112446,P-8-5,RC35,UD,03/2028,PCS,36,166,,12/10/2025,
112447,P-8-6,RCHC17,DS,10/2029,PCS,68,"1,904",,12/10/2025,
112448,P-9-1,RCF18,28,01/2027,PCS,36,517,,12/10/2025,
112449,P-9-2,RC30102,08042530102,01/2026,PCS,24,96,,12/10/2025,
112450,P-9-3,RC2307,QY,03/2026,PCS,36,505,,12/10/2025,
112451,P-9-4,RCF10,08,05/2027,PCS,36,"1,764",,12/10/2025,
112452,P-9-5,RC2308,AU,07/2027,PCS,36,249,,12/10/2025,
112453,P-9-6,RCFS01,0K4,11/2025,PCS,81,306,,12/10/2025,
112454,P-9-6,RCFS01,9F8,07/2024,PCS,81,81,,12/10/2025,
112455,P-9-6,RCFS01,OE2,05/2025,PCS,81,110,,12/10/2025,
112456,Q-10-1,BN312X12,FS,01/2028,PCS,12,9,,12/10/2025,
112457,Q-10-2,CP603,25006018818,06/2023,PCS,24,342,,12/10/2025,
112458,Q-10-2,CP606,16010018818,10/2023,PCS,20,7,,12/10/2025,
112459,Q-10-2,CPM3,3010193,03/2024,PCS,24,416,,12/10/2025,
112460,Q-10-3,BNHC2009,0I3,09/2023,PCS,18,504,,12/10/2025,
112461,Q-10-4,NS10/08,1705241008,05/2025,PCS,27,216,,12/10/2025,
112462,Q-10-5,NS2044/V2,04411121344,11/2024,PCS,18,348,,12/10/2025,
112463,Q-10-6,BN2005,0510222005,05/2025,PCS,15,15,,12/10/2025,
